Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Базилевський,Артем,Михайлович,Ч,02.11.1977,Астронавт,селище Миколаїв,"узвіз Санітарна, буд. 596 кв. 612, Токмак, 12833",087 247 39 05,zakharvakulenko@example.org
Гайворонський,Владислав,Леонідович,Ч,10.01.1947,Локсмайстер,селище Кременець,"вулиця Павла Клепацького, буд. 44 кв. 639, Лозова, 61712",+380 (96) 403-79-25,danna77@example.com
Бевз,Болеслав,Володимирович,Ч,01.06.1965,Художник,місто Семенівка,"узвіз Виноградна, буд. 315, Городенка, 92672",+380 (42) 049-64-54,demydvertyporokh@example.org
Алексійчук,Вадим,Іванович,Ч,23.11.2002,Художник,місто Почаїв,"набережна Просвіти, буд. 64, Приморськ, 99922",+380 54 403-31-12,shamrairostyslav@example.net
Носенко,Франц,Олександрович,Ч,21.04.1942,Живописець,село Мирноград,"набережна 7-ма Лінія Дачі Ковалевського, буд. 366, Стебник, 49917",056 598-85-13,marta49@example.com
Гук,Микита,Миколайович,Ч,14.07.1942,Науковець,селище Марганець,"сквер Балтський 5-й, буд. 61, Красилів, 36043",+380 61 316 29 08,nestor63@example.net
Забашта,Зиновій,Вікторович,Ч,14.06.1993,Петрограф,селище Берегове,"проспект Гвоздична, буд. 798 кв. 55, Ірпінь, 37703",+380 (15) 654-55-51,zrebryk@example.com
Акименко,Мирон,Максимович,Ч,10.01.1981,Музичний редактор,селище Кам'янець-Подільський,"узвіз Леонтовича, буд. 32 кв. 881, Дебальцеве, 99272",042 102-43-84,ievtushenkoles@example.net
Христич,Ігор,Богданович,Ч,05.04.1976,Астронавт,селище Сніжне,"проспект Садова 4-та, буд. 35, Галич, 98302",025 060 39 09,hliblutsenko@example.net
Іщенко,Анжела,Степанівна,Ж,20.10.1951,Круп'є,хутір Каховка,"набережна Каретний, буд. 63, Новоукраїнка, 75922",946 74 05,oleschupryna@example.com
Салій,Єлисавета,Ярославівна,Ж,13.03.1951,Електромонтажник,хутір Кривий Ріг,"проспект Лятошинського, буд. 1, Тараща, 90823",+380 37 475-35-05,danylomykhaliuk@example.com
Баранець,Руслан,Дмитрович,Ч,15.04.1966,Електромонтажник,хутір Благовіщенське,"набережна Аеродромний 1-й, буд. 641 кв. 312, Христинівка, 86394",+380 15 554-93-21,ciesypenko@example.com
Щириця,Мілена,Олександрівна,Ж,23.11.1971,Хореограф,селище Жашків,"площа Дальницька, буд. 78 кв. 0, Голубівка, 74394",434 25 21,okolisnychenko@example.com
Макаренко,Валентин,Олександрович,Ч,05.08.1975,Етнограф,селище Мирноград,"вулиця Політкаторжан, буд. 3, Буринь, 40905",+380 47 182-99-84,ttverdokhlib@example.net
Коваленко,Кирило,Васильович,Ч,15.12.1943,Хімік,хутір Моспине,"узвіз Лазурний 5-й, буд. 92 кв. 888, Вишневе, 59182",+380 90 220-25-24,zakharenkooleksandr@example.net
Приходько,Валентина,Петрівна,Ж,31.12.1978,Актор,селище Кадіївка,"провулок Східний, буд. 209 кв. 77, Шахтарське, 65238",+380 84 256-13-36,huzamvrosii@example.com
Кибкало,Ганна,Олександрівна,Ж,07.11.2008,Музикант,село Красногорівка,"набережна Серединський, буд. 781 кв. 5, Борщів, 97120",002 047 16 47,petro27@example.com
Гуцуляк,Спас,Миколайович,Ч,08.05.1990,Мінералог,місто Сімферополь,"шосе Буковинська, буд. 97, Сніжне, 41846",+380 38 709-30-91,herman23@example.org
Чумак,Ярослав,Дмитрович,Ч,25.10.1966,Дизайнер,селище Чистякове,"парк Неплія, буд. 6, Авдіївка, 73333",+380 (82) 382-84-36,riabetsvladyslav@example.net
Зарудний,Борислав,Ярославович,Ч,01.05.1996,Графік,місто Мирноград,"проспект Перша, буд. 61 кв. 254, Молочанськ, 60629",030 042-83-41,xlupii@example.net
Коваленко,Семен,Володимирович,Ч,13.10.1957,Стоматолог,хутір Кодима,"площа Сумська, буд. 813 кв. 50, Чернігів, 08606",+380 56 020-05-28,vladyslav00@example.net
Корпанюк,Ірена,Валеріївна,Ж,20.02.1965,Мистецтвознавець,місто Львів,"шосе Кипарисний 1-й, буд. 4, Коростень, 87344",+380 58 485 68 82,larysahavrylenko@example.net
Фаренюк,Богданна,Вікторівна,Ж,12.09.1981,Ювелір,селище Моршин,"провулок Китобійний 1-й, буд. 8 кв. 615, Ясинувата, 67754",+380 27 842 67 40,avreliiiakymenko@example.org
Бабко,Богуслава,Петрівна,Ж,09.09.1938,Професор,село Ясинувата,"парк Флейтовий, буд. 20, Жданівка, 42881",+380 79 399-71-54,vira06@example.net
Салій,Євген,Леонідович,Ч,29.07.1948,Бухгалтер,хутір Мелітополь,"площа Світла, буд. 2, Кременчук, 50248",+380 17 756-37-70,jbhydenko@example.net
Деряжна,Пріска,Михайлівна,Ж,20.04.1963,Електротехнік,місто Красногорівка,"узвіз Аркадійська, буд. 0, Камінь-Каширський, 87605",031-82-06,ieva90@example.com
Лесик,Богданна,Михайлівна,Ж,26.07.1942,Редактор,селище Тетіїв,"набережна Роздольна, буд. 6, Чернівці, 59394",137 43 27,viktoriia25@example.net
Штокало,Ганна,Петрівна,Ж,10.11.1943,Графік,селище Добропілля,"площа Іспанська, буд. 8, Яворів, 26443",173-30-41,iashchukserhii@example.net
Зайченко,Дмитро,Григорович,Ч,13.01.1977,Ветеринар,село Тлумач,"сквер Толвінського, буд. 47, Володимир-Волинський, 92003",+380 (73) 637-95-64,andreikoihor@example.com
Карпа,Костянтин,Валерійович,Ч,07.10.1981,Акушер,село Харцизьк,"сквер Житомирський 3-й, буд. 21, Бар, 28388",480 32 15,udutka@example.com
Затовканюк,Миколай,Іванович,Ч,20.09.1998,Архітектор,селище Сарни,"набережна Басейний 2-й, буд. 21, Глухів, 13356",+380 51 518-31-05,okhrim46@example.com
Остапчук,Василина,Петрівна,Ж,12.07.1954,Паралегал,село Сокологірськ,"парк Нафтовиків 2-й, буд. 4, Молочанськ, 51929",+380 00 721 14 51,anitanesterenko@example.com
Ващук,Василина,Валеріївна,Ж,17.02.2005,Ботанік,хутір Златопіль,"набережна Стельмаха, буд. 03 кв. 55, Рогатин, 86588",097 719-27-65,dlupii@example.net
Харченко,Лілія,Андріївна,Ж,22.04.1969,Агроном,село Красногорівка,"узвіз Василя Данилевича, буд. 88 кв. 5, Зимогір'я, 58299",+380 (03) 563-71-97,ruslanlytvynenko@example.org
Вишняк,Дмитро,Богданович,Ч,24.10.1950,Прокурор,село Привілля,"шосе 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 9, Середина-Буда, 02792",095 733-58-43,wvivcharenko@example.com
Джунь,Вʼячеслав,Леонідович,Ч,02.02.1945,Дерун,село Тиврів,"провулок 411-ї батареї, буд. 050 кв. 66, Новоград-Волинський, 81704",053 796-97-20,danchenkoiaroslav@example.org
Петрик,Панас,Максимович,Ч,26.12.1976,Співак,село Гірник,"шосе Нова, буд. 652 кв. 870, Верхньодніпровськ, 99155",+380 (72) 093-33-51,khorishkoeduard@example.net
Ребрик,Макар,Миколайович,Ч,08.12.1975,Фрілансер,селище Чугуїв,"шосе Онілової, буд. 73, Почаїв, 14915",+380 27 850-50-57,zabashtaviacheslav@example.net
Луценко,Богданна,Богданівна,Ж,04.04.1975,Бібліотекар,селище Апостолове,"провулок Академіка Філатова, буд. 568, Васильків, 97786",+380 10 984 20 46,fazhazha@example.org
Гайденко,Ігнат,Андрійович,Ч,12.03.2006,Ріелтор,хутір Перемишляни,"парк Семена Яхненка, буд. 33 кв. 006, Донецьк, 03286",+380 90 767-76-50,lmakohon@example.com
Дергач,Ростислав,Степанович,Ч,17.01.1967,Громадський діяч,селище Болград,"узвіз Танкістів, буд. 746, Лозова, 34914",+380 05 977 46 73,veniiamyndubas@example.net
Міщенко,Валентин,Павлович,Ч,18.02.1954,Слідчий,село Горохів,"шосе Локомотивний 4-й, буд. 04, Антрацит, 81688",064 718 80 32,hhuzii@example.net
Ємельяненко,Ілля,Андрійович,Ч,19.07.1975,Пекар,селище Лутугине,"площа Джутовий, буд. 03, Деражня, 63014",079 687 74 12,avhustynievtushok@example.net
Ватаманюк,Хома,Іванович,Ч,08.06.2002,Співак,селище Тетіїв,"вулиця Лузанівська, буд. 061 кв. 736, Вишневе, 26682",036 174-67-54,ielysavetasavenko@example.com
Дашенко,Пармен,Валерійович,Ч,24.05.1966,Режисер,селище Підгайці,"набережна Георгія Гамова, буд. 152 кв. 396, Звенигородка, 22692",972 36 85,tymchuksemen@example.org
Петренко,Марта,Миколаївна,Ж,23.01.1998,Кушнір,хутір Соледар,"провулок Залізничний 3-й, буд. 36 кв. 9, Самбір, 34118",+380 46 030-59-85,lukianhres@example.com
Швачко,Ірена,Сергіївна,Ж,11.09.1946,Акушер,місто Євпаторія,"вулиця Нескучна, буд. 47, Коростишів, 47755",087 428 46 19,rozaliia17@example.com
Шевченко,Святослава,Віталіївна,Ж,24.03.2006,Шериф,селище Новий Калинів,"вулиця Краснослобідський, буд. 3 кв. 8, Скадовськ, 23858",+380 11 260-48-80,daryna13@example.com
Андрієнко,Володимир,Ярославович,Ч,20.04.1980,Краєзнавець,село Алмазна,"площа Ольгіївська, буд. 42, Щолкіне, 58078",060 748 94 25,marianadanylenko@example.com
Теліженко,Павло,Павлович,Ч,13.03.1963,Астрофізик,хутір Чистякове,"сквер Князівський, буд. 136, Семенівка, 14552",024 358 36 26,babenkoolha@example.net
Байда,Руслан,Віталійович,Ч,08.09.1976,Реабілітолог,хутір Куп'янськ,"шосе Абрикосова, буд. 59, Ладижин, 39470",+380 27 289 18 93,zaporozhetsfedir@example.com
Литвин,Стефан,Максимович,Ч,19.05.1952,Кіноактор,місто Мала Виска,"парк Василя Кандинського 4-й, буд. 8, Пологи, 65968",+380 18 867-06-44,vira35@example.com
Канівець,Назар,Миколайович,Ч,04.08.1996,Промисловець,місто Сімферополь,"проспект Політкаторжан, буд. 8 кв. 949, Василівка, 49971",+380 48 214 93 34,pchumachenko@example.org
Вертипорох,Ліза,Ярославівна,Ж,30.08.1960,Історик,місто Володимир-Волинський,"площа Нафтовиків 1-й, буд. 65 кв. 398, Кам'янське, 50441",042 364-37-80,dieshchenko@example.org
Килимник,Давид,Олександрович,Ч,12.05.2006,Паблік рилейшнз,селище Кропивницький,"шосе Вірського, буд. 674 кв. 34, Дніпро, 15767",+380 75 059-05-43,olha73@example.org
Микитюк,Іван,Максимович,Ч,25.01.1957,Біолог,село Золоте,"узвіз Естафетна, буд. 59 кв. 2, Помічна, 76218",+380 83 413 74 49,makohonvioletta@example.com
Гук,Ярослав,Максимович,Ч,10.11.1989,Астрофізик,село Макіївка,"вулиця Керченський 2-й, буд. 4, Боярка, 71422",108-13-07,arsen62@example.com
Вернидуб,Геннадій,Анатолійович,Ч,13.05.1959,Геофізик,місто Снятин,"шосе Ліверпульський, буд. 07, Антрацит, 08615",+380 67 657-66-92,sviatoslava66@example.org
Демʼяненко,Семен,Романович,Ч,27.01.1939,Дерун,село Нікополь,"провулок Бандурний, буд. 81, Лутугине, 34164",050 993-19-04,volodymyraromanenko@example.org
Сич,Аліна,Дмитрівна,Ж,30.04.2005,Художник,хутір Кременчук,"сквер Павла Шклярука, буд. 955 кв. 7, Носівка, 17173",+380 56 547-14-98,bohdankopytko@example.net
Твердохліб,Аркадій,Павлович,Ч,17.10.1952,Історик,селище Торецьк,"провулок Супутників, буд. 6 кв. 380, Валки, 79955",+380 87 872 17 57,xonishchuk@example.com
Саченко,Марія,Юріївна,Ж,03.09.1983,Етнограф,село Радивилів,"парк Князя Ярослава Мудрого, буд. 35, Буринь, 36527",824-27-02,valeriisahal@example.net
Баклан,Аліна,Іванівна,Ж,16.06.1954,Астронавт,село Белз,"узвіз Історія Футболу, буд. 3, Перемишляни, 35156",907-84-07,qkorbut@example.com
Лагода,Віктор,Вікторович,Ч,29.07.1999,Фрілансер,місто Бориспіль,"шосе Паркова, буд. 3, Вугледар, 57530",+380 26 806-46-51,tytarenkotetiana@example.com
Токар,Василина,Віталіївна,Ж,30.05.1981,Клавішник,село Монастирище,"парк Неплія, буд. 007, Богуслав, 01480",220 70 34,xmykhaliuk@example.org
Василенко,Альберт,Петрович,Ч,22.10.1985,Ювелір,хутір Корець,"вулиця Деволанівська, буд. 5, Козятин, 89298",099 589 66 57,viacheslavteslia@example.com
Гузенко,Альбіна,Богданівна,Ж,29.09.1945,Кур'єр,місто Погребище,"сквер Горбиста, буд. 85 кв. 11, Горохів, 37399",+380 82 147 61 86,demyd39@example.com
Лаба,Юстим,Ярославович,Ч,09.05.1994,Скульптор,місто Сторожинець,"провулок Баштанна, буд. 908 кв. 23, Монастирище, 54174",+380 (06) 362-09-49,fliashko@example.net
Кащенко,Хома,Олександрович,Ч,12.09.1957,Провізор,хутір Чигирин,"узвіз Восьмого Березня Лінія 1-ша, буд. 07, Шахтарськ, 77167",+380 14 088-16-55,mmakohon@example.net
Артимович,Валерій,Максимович,Ч,21.11.1937,Програміст,місто Вознесенськ,"вулиця Леонтовича, буд. 08 кв. 7, Кам'янка-Дніпровська, 25289",+380 (31) 836-39-52,garkhypenko@example.com
Теліженко,Лілія,Олександрівна,Ж,21.09.1940,Провізор,хутір Верхівцеве,"проспект Слов'янська, буд. 794 кв. 24, Харків, 74528",+380 89 210-50-28,rarsenych@example.com
Голик,Віктор,Ігорович,Ч,23.01.2001,Модель,селище Радомишль,"сквер Петра Болбочана, буд. 3, Вараш, 12882",+380 40 534-35-26,myroslavavramchuk@example.com
Остапчук,Альбіна,Іванівна,Ж,19.03.1958,Парфюмер,село Рахів,"площа Цементний, буд. 07, Перевальськ, 14857",+380 81 409-79-73,tymchuksolomiia@example.net
Михайлюк,Альбіна,Іванівна,Ж,02.07.1943,Кушнір,село Бучач,"вулиця Кузнечна, буд. 30, Канів, 21190",937-57-24,franchukolena@example.net
Зінченко,Віра,Іванівна,Ж,02.05.1965,Пекар,село Гайворон,"парк узвіз Віталія Блажка, буд. 72 кв. 538, Красноперекопськ, 74770",045 259 52 80,demydenkoostap@example.com
Михайличенко,Олекса,Віталійович,Ч,29.07.1939,Няня,село Алушта,"провулок Бандурний, буд. 06 кв. 9, Лубни, 58306",+380 11 898-32-87,ieshchenkooleksa@example.com
Ющенко,Веніямин,Тарасович,Ч,21.12.1978,Громадський діяч,село Острог,"провулок Луцька, буд. 131 кв. 51, Коростишів, 22413",039 027-18-97,virababko@example.org
Абраменко,Болеслав,Миколайович,Ч,06.10.1975,Музикант,місто Чернігів,"набережна Сумський, буд. 9 кв. 578, Тиврів, 32903",243-02-42,liza15@example.com
Карась,Людмила,Богданівна,Ж,23.04.1978,Пілот,селище Трускавець,"парк Ігоря Бедзая, буд. 43 кв. 503, Миколаїв, 60984",+380 17 879 04 27,allalysenko@example.net
Слюсар,Богодар,Анатолійович,Ч,06.07.1993,Гінеколог,селище Снігурівка,"провулок 3-тя Лінія Марії Демченко, буд. 745 кв. 6, Перемишляни, 18929",204-65-57,iiesypenko@example.com
Затула,Камілла,Михайлівна,Ж,17.05.1959,Мистецтвознавець,хутір Підгородне,"парк Товарний, буд. 22 кв. 2, Буськ, 32009",+380 (20) 515-04-93,vitalii79@example.net
Онуфрієнко,Ада,Богданівна,Ж,10.10.1966,Вчитель,село Горлівка,"провулок Бузковий 1-й, буд. 597, Покровськ, 47425",085 497 86 85,heorhiidrobakha@example.net
Алексійчук,Одарка,Іванівна,Ж,02.09.1975,Стропальник,хутір Покровськ,"площа Кавказький, буд. 049 кв. 1, Переяслав, 49392",501-75-95,varvaraiashchuk@example.com
Матвієнко,Роман,Володимирович,Ч,12.02.1958,Конструктор,село Чугуїв,"сквер Іванова Ігоря, буд. 75 кв. 5, Радехів, 25113",217-80-19,ddanchenko@example.com
Хомик,Ганна,Леонідівна,Ж,08.12.1987,Гицель,село Сквира,"проспект Нафтовиків, буд. 20, Сарни, 77852",+380 05 191-89-01,ushynkarenko@example.org
Цимбал,Болеслав,Юрійович,Ч,22.05.1999,Бібліотекар,селище Ковель,"набережна Квітнева, буд. 552, Берислав, 55949",+380 94 151-57-67,kamilla17@example.com
Ващенко-Захарченко,Марія,Анатоліївна,Ж,28.08.1986,Бібліограф,хутір Лисичанськ,"площа Штурвальна, буд. 2, Карлівка, 40199",035 291 50 88,viacheslav71@example.com
Дашенко,Степан,Сергійович,Ч,24.06.2005,Швачка,хутір Кривий Ріг,"провулок Трусовська, буд. 100 кв. 098, Кам'янське, 39398",052 770-19-23,revataras@example.org
Кабалюк,Лілія,Іванівна,Ж,11.07.1960,Дерун,село Авдіївка,"провулок Трусовська, буд. 450 кв. 03, Новий Розділ, 94091",+380 25 495-84-78,svitlanakorsun@example.net
Рубець,Ярема,Володимирович,Ч,24.07.1986,Реставратор,місто Макіївка,"проспект Миколи Бажана, буд. 30 кв. 0, Володимир-Волинський, 56688",609-15-21,gvakhnii@example.com
Медведенко,Артем,Валерійович,Ч,28.04.1955,Золотар,селище Шепетівка,"сквер Вознесенський, буд. 97, Гірське, 91026",+380 44 746-84-42,ruslandashenko@example.net
Рева,Борислав,Петрович,Ч,28.09.1963,Письменник,село Бровари,"узвіз Вітчизняна, буд. 63, Глухів, 81428",051-38-41,mishchenkoolena@example.net
Перебийніс,Аврелій,Михайлович,Ч,05.12.1948,Мірошник,селище Новий Розділ,"площа Луценка Івана, буд. 390, Мерефа, 59115",349 07 20,sofiia01@example.net
Затула,Альбіна,Віталіївна,Ж,02.11.1976,Паралегал,селище Українка,"узвіз Зелена, буд. 587, Батурин, 42022",631 30 46,ruslan35@example.org
Оробець,Амалія,Леонідівна,Ж,10.05.1957,Літературознавець,хутір Отаманівка,"узвіз Бучми, буд. 939 кв. 45, Бровари, 72501",009 60 97,qbevzenko@example.org
Ляшко,Тарас,Григорович,Ч,21.06.1998,Географ,селище Вашківці,"проспект Подільська, буд. 033, Антрацит, 80622",058 620 70 72,nartym@example.net
Василенко,Августин,Анатолійович,Ч,25.11.1938,Інженер,село Лиман,"площа Покровський, буд. 16, Глухів, 94046",027 214-94-92,smykytiuk@example.org
Петренко,Роксолана,Сергіївна,Ж,24.04.1982,Вчитель,село Біляївка,"шосе Велика Арнаутська, буд. 90 кв. 5, Самбір, 59693",+380 08 629-39-19,ievaiurchuk@example.net
Лемешко,Ірина,Віталіївна,Ж,22.03.1974,Локсмайстер,село Вишгород,"площа Цесевича, буд. 88 кв. 6, Володимир-Волинський, 10231",+380 46 195 79 29,isaievychmarusia@example.com
Колодуб,Тереза,Леонідівна,Ж,22.07.1968,Філолог,село Амвросіївка,"шосе Лінійна, буд. 9, Армянськ, 89777",344 55 05,davyd72@example.com
Карпенко,Галина,Степанівна,Ж,13.04.1969,Бізнесмен,місто Хутір-Михайлівський,"узвіз Зарічна, буд. 394, Батурин, 67450",923-45-51,nalyvaikozynovii@example.net
Вернидуб,Болеслав,Віталійович,Ч,04.11.1992,Різноробочий,село Карлівка,"набережна Артилерійський 2-й, буд. 10, Кременець, 08845",682 29 39,lhaidai@example.net
Худяк,Феофан,Ігорович,Ч,08.06.1946,Електротехнік,село Олександрівськ,"набережна Селекційний, буд. 691, Чорноморськ, 65703",091 953-43-79,zabilasviatoslav@example.net
Талан,Андрій,Віталійович,Ч,25.12.1983,Електротехнік,селище Вугледар,"шосе Вишневий, буд. 080 кв. 64, Антрацит, 39333",671-92-59,nprytula@example.com
Захаренко,Охрім,Петрович,Ч,25.01.1998,Фольклорист,хутір Красилів,"площа Гайова, буд. 235 кв. 295, Берестечко, 50624",701-57-42,vdovenkoanzhela@example.com
Приходько,Адам,Богданович,Ч,17.01.2003,Реабілітолог,місто Краматорськ,"узвіз Олександра Ройтбурда, буд. 786 кв. 53, Мена, 66126",068 837 70 45,zakhar73@example.com
Стельмах,Богуслава,Максимівна,Ж,29.08.1983,Правник,село Підгайці,"провулок Штурвальна, буд. 0, Рахів, 42076",+380 (82) 787-78-81,myroslav86@example.net
Дейнеко,Анастасія,Анатоліївна,Ж,28.07.1971,Графік,хутір Мелітополь,"набережна Михайла Жука, буд. 48, Вашківці, 34260",+380 09 991-71-77,ckonoplia@example.net
Короленко,Олександр,Ярославович,Ч,27.04.1958,Різноробочий,селище Горохів,"сквер Туристський, буд. 383 кв. 48, Старий Самбір, 67053",203 93 10,jhupalo@example.net
Перепелиця,Амвросій,Дмитрович,Ч,09.03.1989,Гінеколог,село Марганець,"проспект Богуна, буд. 4, Берислав, 66834",+380 36 793 49 38,liubovkabaliuk@example.com
Щербак,Остап,Іванович,Ч,28.04.1987,Модель,селище Гуляйполе,"узвіз Теплична, буд. 5, Севастополь, 56146",141-37-14,zorian33@example.com
Чередник,Варфоломій,Андрійович,Ч,29.05.1991,Графік,місто Шпола,"шосе Нафтовиків, буд. 84, Берестин, 95127",+380 48 119-61-87,leon74@example.com
Смик,Одарка,Петрівна,Ж,20.11.1957,Музичний редактор,місто Барвінкове,"провулок Кладовищний, буд. 35 кв. 4, Південне, 64607",044 068 09 19,irenazasenko@example.com
Саєнко,Назар,Віталійович,Ч,28.07.1990,Мікробіолог,село Світловодськ,"провулок Маршрутна, буд. 324, Часів Яр, 32476",687-25-84,viktordanko@example.net
Канівець,Любов,Тарасівна,Ж,23.07.1977,Ді-джей,село Золотоноша,"вулиця Богдана Хмельницького, буд. 9, Березівка, 06708",+380 70 371-66-78,mykyta67@example.net
Матяш,Марина,Юріївна,Ж,26.02.1977,Мінералог,хутір Лубни,"набережна Добровольців, буд. 6 кв. 99, Ізюм, 89700",034 431 12 97,maryna23@example.com
Гунько,Зиновій,Максимович,Ч,28.11.1951,Мінералог,хутір Рахів,"сквер Лінія 50-та, буд. 598, Бердянськ, 61064",+380 37 606-21-28,szabila@example.com
Байда,Камілла,Тарасівна,Ж,14.05.1969,Дизайнер,селище Зугрес,"сквер Будівельний, буд. 8 кв. 587, Козятин, 15310",+380 (32) 832-97-41,azartkachenko@example.net
Батюк,Роксолана,Валеріївна,Ж,22.01.1990,Художник,селище Красноперекопськ,"вулиця Максима Чайки, буд. 51, Заставна, 94127",498 67 96,qdemianenko@example.com
Охріменко,Артем,Григорович,Ч,11.09.1947,Епідеміолог,хутір Красногорівка,"проспект Обривиста, буд. 601, Калуш, 32304",257 58 53,ielysei36@example.org
Вдовиченко,Ліза,Вікторівна,Ж,15.05.1956,Режисер,селище Ямпіль,"набережна Овідіопольська, буд. 902, Березне, 87291",+380 02 395-57-57,dbabenko@example.com
Даниленко,Маруся,Василівна,Ж,19.11.1971,Геофізик,село Миколаївка,"узвіз Віталія Блажка, буд. 1 кв. 90, Кропивницький, 25332",+380 72 409-98-66,teodor77@example.com
Єщенко,Данна,Володимирівна,Ж,28.05.1982,Фрілансер,селище Дружківка,"узвіз Задніпровського, буд. 786 кв. 940, Вінниця, 12379",382 22 97,zynovii30@example.net
Затовканюк,Вікторія,Романівна,Ж,26.12.1978,Редактор,селище Одеса,"проспект Басейний 6-й, буд. 799, Лохвиця, 51076",+380 83 776 43 81,ckozak@example.org
Бабʼюк,Наталія,Ярославівна,Ж,08.01.1957,Мікробіолог,хутір Яготин,"проспект Героїв Крут, буд. 135, Ананьїв, 28194",+380 12 441 70 21,amaliiazhuravel@example.org
Сиротенко,Валентина,Ігорівна,Ж,21.04.1977,Стиліст,місто Ромни,"площа Штурманська, буд. 9, Керч, 44673",+380 02 666-64-14,odarkavakhnii@example.net
Конопленко,Мирослав,Михайлович,Ч,06.06.1980,Піаніст,селище Вишгород,"сквер Чорноморський 8-й, буд. 87 кв. 10, Новий Калинів, 12410",390 82 21,nskyba@example.com
Зінчук,Марія,Павлівна,Ж,20.08.1990,Соціолог,хутір Судак,"проспект Вузький, буд. 315, Малин, 78361",+380 21 830-09-62,nazarvlasiuk@example.net
Тимченко,Людмила,Романівна,Ж,09.11.1978,Вчитель,село Виноградів,"площа Бібліотечна, буд. 3 кв. 883, Білгород-Дністровський, 20197",+380 (71) 696-70-59,klavdiiateslia@example.net
Фурс,Адам,Степанович,Ч,10.09.1991,Головний меркшейдер,село Красногорівка,"набережна Пересипська 5-та, буд. 8 кв. 004, Івано-Франківськ, 93118",815-03-04,ruslanonishchuk@example.org
Алексюк,Ярослав,Ігорович,Ч,01.07.1971,Патологоанатом,село Сарни,"набережна Кришталевий, буд. 728, Федорівка, 76696",031 046 15 76,danchenkomartyn@example.com
Конопля,Пріска,Юріївна,Ж,01.01.1942,Фермер,місто Ананьїв,"парк Цегельнозаводська, буд. 656 кв. 6, Дубляни, 65886",+380 (08) 609-62-63,wnazarenko@example.net
Гресь,Софія,Максимівна,Ж,31.10.1961,Мікробіолог,селище Чистякове,"парк Керченський 1-й, буд. 92 кв. 01, Сокиряни, 80600",035 958 04 71,davydkorolenko@example.net
Євтушенко,Дан,Анатолійович,Ч,06.01.1968,Математик,село Мостиська,"провулок Суперфосфатна, буд. 9, Тисмениця, 80156",+380 (04) 434-81-46,atamanchukiustyna@example.com
Гавришкевич,Стефан,Миколайович,Ч,11.04.1994,Графік,місто Курахове,"провулок Георгія Липського, буд. 5 кв. 45, Могилів-Подільський, 62120",+380 (91) 277-04-83,rubetsleontii@example.com
Ажажа,Єфрем,Романович,Ч,30.10.1970,Локсмайстер,місто Березань,"сквер Рачкова, буд. 1, Моршин, 28402",000 482-90-61,tiahnybokihnat@example.com
Журавель,Олесь,Ярославович,Ч,20.11.1964,Фармацевт,село Косів,"проспект Кодимський, буд. 0 кв. 5, Українськ, 25981",+380 62 269-18-10,skybaarsen@example.org
Ткач,Єлисей,Богданович,Ч,23.08.1958,Піаніст,село Інкерман,"узвіз Ширяївський, буд. 43, Горлівка, 34108",546-20-67,lukianbevz@example.com
Демʼянчук,Ада,Степанівна,Ж,08.12.1942,Бізнесмен,місто Білгород-Дністровський,"сквер Міцкевича, буд. 7 кв. 613, Перевальськ, 60512",+380 70 471-75-41,uvakarchuk@example.net
Байда,Ілля,Вікторович,Ч,03.06.1938,Живописець,хутір Кременчук,"площа Гранатна, буд. 5, Житомир, 66863",+380 (33) 409-02-94,bohuslavavashchuk@example.net
Микитюк,Ада,Степанівна,Ж,28.09.1943,Етнограф,село Бобринець,"площа 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 860, Кіцмань, 59630",976-12-84,zlatoslava08@example.org
Яковенко,Данна,Романівна,Ж,09.11.1977,Правник,місто Бердянськ,"провулок Цегельнозаводська, буд. 668, Лубни, 30400",+380 31 624 46 32,artiushenkoustym@example.com
Гаврилюк,Опанас,Леонідович,Ч,20.06.1960,Стиліст,селище Помічна,"парк Керченська, буд. 992, Каховка, 80380",077 62 37,demianchukmykhailyna@example.com
Засядько,Орхип,Богданович,Ч,15.06.1946,Електрослюсар,місто Добропілля,"узвіз Лиманчик 2-й Лінія 9-та, буд. 447, Славутич, 84794",+380 33 104-11-20,pprokopovych@example.org
Василашко,Аврелій,Володимирович,Ч,04.09.1959,Графік,хутір Роздільна,"узвіз Китобійна, буд. 94, Андрушівка, 72166",+380 17 986-70-25,sviatoslavbezborodko@example.com
Бабійчук,Хома,Андрійович,Ч,03.11.1947,Електротехнік,селище Василівка,"проспект Вапняний 2-й, буд. 170 кв. 6, Нікополь, 55560",615 96 31,mykhailopavlychenko@example.com
Каденюк,Мартин,Романович,Ч,10.04.1961,Ювелір,селище Бобровиця,"шосе Крушельницької, буд. 609 кв. 852, Богодухів, 02062",+380 (09) 415-97-33,ikovpak@example.net
Овчаренко,Данна,Дмитрівна,Ж,03.05.2001,Головний меркшейдер,хутір Івано-Франківськ,"узвіз Овідіопольська дорога, буд. 051, Курахове, 60210",+380 84 116-48-76,ivalenko@example.com
Кириленко,Давид,Миколайович,Ч,28.11.2000,Пілот,село Рудки,"узвіз 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Бершадь, 69636",062 859-53-61,istets@example.net
