Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Баштан,Тетяна,Степанівна,Ж,28.01.1982,Музикознавець,місто Кодима,"набережна Дмитра Іванова, буд. 201 кв. 4, Сколе, 68851",077 000-12-96,batihvenedykt@example.net
Гуцуляк,Михайло,Сергійович,Ч,25.11.1953,Педагог,селище Хотин,"проспект Локомотивний 2-й, буд. 64 кв. 1, Рубіжне, 02889",+380 15 408-24-61,kabramenko@example.org
Байрак,Андрій,Вікторович,Ч,14.11.1980,Модельєр,селище Біляївка,"вулиця Польська, буд. 003, Біляївка, 42442",319 22 28,ostapkaras@example.org
Парасюк,Сніжана,Романівна,Ж,13.10.1972,Журналіст,хутір Середина-Буда,"набережна Бузкова, буд. 22 кв. 92, Старий Крим, 08866",035 937 24 08,czakusylo@example.net
Архимович,Оксенія,Павлівна,Ж,22.01.1994,Психолог,село Амвросіївка,"площа Штильова, буд. 876, Вільногірськ, 29187",049 506 25 83,tdubas@example.net
Їжак,Юстина,Григорівна,Ж,09.03.1950,Швачка,місто Чернівці,"проспект Маршрутна, буд. 436, Вугледар, 07597",762 77 90,syrotenkoieva@example.net
Журавель,Марко,Леонідович,Ч,29.07.1939,Ґрунтознавець,селище Городенка,"набережна Дідріхсона, буд. 758, Жашків, 33345",+380 27 985-94-89,fareniukboleslav@example.net
Удовиченко,Ярослав,Олександрович,Ч,05.07.1940,Актор,село Буськ,"сквер Селищний, буд. 334 кв. 936, Багачеве, 89250",+380 14 752-86-39,gkhomyk@example.net
Міщенко,Варвара,Павлівна,Ж,26.05.1940,Кухар,селище Сіверськ,"сквер Сумська, буд. 30, Євпаторія, 80342",+380 54 340 02 67,haidenkovenedykt@example.com
Яременко,Захар,Богданович,Ч,12.01.1982,Географ,місто Бобровиця,"шосе Будівельний, буд. 2 кв. 861, Глиняни, 91693",675 43 47,martynfranchuk@example.com
Ковпак,Соломія,Валеріївна,Ж,30.03.1949,Фізик,хутір Шахтарськ,"узвіз Слов'янська, буд. 3, Луганськ, 83702",+380 (18) 408-24-99,halynanazarenko@example.net
Черінько,Алла,Тарасівна,Ж,23.03.1972,Математик,село Радехів,"сквер Дальницьке, буд. 46 кв. 7, Павлоград, 64870",013 351 53 37,konoplenkoustym@example.net
Чабан,Леон,Григорович,Ч,09.10.1957,Музикант,місто Перемишляни,"провулок Польова, буд. 574 кв. 3, Пирятин, 85228",838 33 72,lukashdan@example.org
Козак,Борислав,Романович,Ч,22.10.1986,Підприємець,селище Коростень,"набережна Успенська, буд. 764, Коростень, 19081",+380 73 554-41-63,babiukolena@example.net
Охріменко,Алла,Богданівна,Ж,23.01.1983,Композитор,місто Тернопіль,"набережна Дур'янівський, буд. 87 кв. 4, Рахів, 77007",+380 80 771-38-82,ibaranets@example.net
Василашко,Станіслав,Іванович,Ч,21.02.1943,Географ,хутір Донецьк,"вулиця Кавказька, буд. 043, Покровськ, 88353",071 116-96-25,bohuslava38@example.com
Сомко,Макар,Ігорович,Ч,28.05.1967,Кур'єр,селище Авдіївка,"сквер Бісквітний, буд. 4, Монастириська, 81306",409-64-14,hodunokorysia@example.org
Дергач,Прохір,Леонідович,Ч,22.06.1980,Піаніст,село Середина-Буда,"сквер Наявний 7-й, буд. 0, Бердичів, 60357",058 968-83-11,shabliiada@example.org
Іваненко,Назар,Васильович,Ч,11.08.1975,Слідчий,село Хрустальний,"сквер Лінія 51-ша, буд. 5 кв. 4, Тисмениця, 21501",901-92-59,riabetsleontii@example.net
Бабій,Валентин,Володимирович,Ч,07.08.1999,Стоматолог,хутір Узин,"провулок Юхима Фесенка, буд. 0 кв. 643, Вознесенськ, 97423",084 678-30-66,tverdokhlibiaryna@example.net
Приймак,Григорій,Олександрович,Ч,28.06.1999,Флорист,місто Жовті Води,"сквер Пересипський 1-й, буд. 124 кв. 220, Українськ, 26876",479-96-78,cgereta@example.com
Шило,Хома,Іванович,Ч,05.06.1999,Агроном,село Перещепине,"узвіз Аеропортівський 3-й, буд. 1, Березне, 45922",+380 47 307-43-24,pylypenkotetiana@example.net
Бабиченко,Христина,Сергіївна,Ж,04.08.1995,Етнограф,селище Переяслав,"узвіз Лінія 37-ма, буд. 73, Привілля, 87933",+380 61 246-38-04,leopoldvanchenko@example.com
Вахній,Олесь,Тарасович,Ч,16.12.1940,Медик,місто Шахтарськ,"шосе 2-га Лінія Марії Демченко, буд. 315 кв. 95, Яготин, 65534",781-23-10,valenkonataliia@example.org
Затовканюк,Оксана,Вікторівна,Ж,14.07.1962,Ґрунтознавець,село Заліщики,"площа Перший Кришталевий, буд. 969, Іршава, 96875",+380 (91) 380-73-74,ytymchuk@example.net
Ляшко,Сніжана,Віталіївна,Ж,03.05.1953,Фізик,місто Нова Каховка,"набережна Водопровідна, буд. 5 кв. 037, Миколаїв, 19939",+380 (18) 110-63-34,maksymdotsenko@example.org
Карпенко,Маруся,Олександрівна,Ж,04.02.1981,Дипломат,хутір Макіївка,"набережна Бітумна, буд. 3, Мала Виска, 52879",+380 22 739-31-60,khrystynakhrystych@example.org
Щербань,Георгій,Миколайович,Ч,27.07.1987,Секретар,селище Вижниця,"проспект Індійська, буд. 744, Тячів, 36832",728-27-73,tokarrostyslav@example.com
Базилевич,Демʼян,Юрійович,Ч,01.06.2006,Євнух,село Харків,"вулиця Бокаріуса, буд. 50 кв. 8, Голубівка, 12782",288 77 54,havrylenkosymon@example.net
Франко,Ігнат,Сергійович,Ч,01.11.1990,Швачка,селище Златопіль,"провулок Розумовський 1-й, буд. 23 кв. 42, Комарно, 52562",073 037-44-00,ukylymnyk@example.org
Вахній,Варвара,Леонідівна,Ж,10.11.1978,Літературознавець,хутір Світлодарськ,"сквер Гобеленова, буд. 561, Мена, 62054",061 715-94-11,spashuk@example.com
Іщак,Миколай,Степанович,Ч,02.11.2008,Промисловець,хутір Вознесенівка,"набережна Госпітальний, буд. 0 кв. 4, Слов'янськ, 01913",012 649-83-48,klyment69@example.net
Цушко,Левко,Петрович,Ч,23.03.1997,Астронавт,хутір Березівка,"провулок Володимира Хавкіна, буд. 727 кв. 939, Чернігів, 45759",056 827 42 74,psimashkevych@example.com
Семенченко,Орина,Степанівна,Ж,10.01.1956,Паралегал,селище Монастириська,"вулиця Моторна, буд. 427, Коломия, 21606",+380 92 780-82-94,oksana00@example.com
Пʼятаченко,Демид,Васильович,Ч,15.08.1979,Ріелтор,село Нова Одеса,"вулиця Степний 2-й, буд. 2 кв. 22, Севастополь, 81830",550 68 07,omelian36@example.net
Шахрай,Оксенія,Дмитрівна,Ж,14.04.2003,Палеонтолог,місто Бахмут,"парк Новиков міст, буд. 85, Олександрія, 44932",253-53-96,jholyk@example.org
Голик,Богуслава,Валеріївна,Ж,12.06.1994,Ювелір,село Новомиргород,"набережна Іспанський, буд. 507 кв. 91, Батурин, 81585",035 498 35 23,panteleimon81@example.net
Ярош,Левко,Віталійович,Ч,03.08.1967,М'ясник,хутір Довжанськ,"узвіз Грецька, буд. 6, Красногорівка, 11087",+380 60 881-23-00,kostiantyndubyna@example.org
Килимник,Віолетта,Олександрівна,Ж,30.05.2001,Педагог,хутір Миколаїв,"провулок Амбулаторний 1-й, буд. 8 кв. 8, Біла Церква, 28101",+380 49 808-17-91,boleslav22@example.com
Демʼянюк,Микита,Тарасович,Ч,11.09.1981,Ювелір,хутір Турка,"парк Овідіопольський, буд. 3 кв. 793, Гайворон, 91247",+380 26 071-76-31,hordiivyshyvanyi@example.net
Носаченко,Варфоломій,Максимович,Ч,27.12.1976,Географ,село Довжанськ,"парк Театральний, буд. 2 кв. 7, Косів, 48827",+380 15 393-35-37,dhupalo@example.org
Ісаєнко,Емілія,Леонідівна,Ж,30.12.1941,Електромонтер,село Гайворон,"шосе Дальницьке, буд. 2 кв. 0, Бахмут, 70940",081 677-81-27,sviatoslavchumak@example.com
Комар,Тимофій,Богданович,Ч,08.01.1991,Антрополог,хутір Керч,"шосе 4-та Лінія Марії Демченко, буд. 8 кв. 52, Вільногірськ, 70371",691 38 72,zhurbaborys@example.net
Оліфіренко,Тереза,Іванівна,Ж,09.02.2002,Будник,місто Вуглегірськ,"парк Медовий, буд. 9 кв. 308, Могилів-Подільський, 57974",022 978 48 15,lsliusar@example.com
Авдєєнко,Єфрем,Юрійович,Ч,27.08.1980,Стропальник,хутір Судова Вишня,"шосе Павла Чубинського, буд. 644 кв. 8, Українськ, 41295",062 667 06 29,edyta14@example.com
Шинкаренко,Ірена,Анатоліївна,Ж,03.06.1939,Електромонтер,місто Вижниця,"набережна Баштанна, буд. 47, Помічна, 28210",097-07-16,teodor99@example.net
Слюсар,Станіслав,Володимирович,Ч,15.12.1969,Гірник,місто Соснівка,"провулок Аеродромний 1-й, буд. 96, Ірпінь, 05300",+380 79 352-32-09,spastalan@example.net
Цимбал,Станіслав,Михайлович,Ч,20.01.1996,Етнограф,хутір Ківерці,"набережна Різницький, буд. 6, Гайсин, 32987",+380 (87) 863-17-36,datsiukiakiv@example.net
Хомик,Віталій,Васильович,Ч,02.02.1991,Професор,місто Кам'янка (Черкаська область),"провулок Українських Героїв, буд. 0, Яворів, 74611",+380 05 276-47-57,avreliiarkhypenko@example.net
Овсієнко,Алевтин,Сергійович,Ч,13.11.1949,Головний меркшейдер,село Гайсин,"провулок Асташкіна, буд. 71, Мар'їнка, 81963",+380 06 635 36 55,varfolomiibakumenko@example.org
Ванченко,Дмитро,Валерійович,Ч,14.01.1963,Педагог,селище Корсунь-Шевченківський,"узвіз Лазурний 2-й, буд. 00 кв. 25, Новий Буг, 78556",+380 70 899-12-28,myroslavvlasiuk@example.com
Сімашкевич,Григорій,Вікторович,Ч,25.02.1989,Епідеміолог,село Коломия,"сквер узвіз Віталія Блажка, буд. 814, Самбір, 90422",775-85-06,bashtanvolodymyr@example.org
Левченко,Едита,Анатоліївна,Ж,24.10.1979,Намотувальник,хутір Монастирище,"вулиця Лютневий 1-й, буд. 04 кв. 8, Прип'ять, 14909",005 666 91 28,veniiamyn67@example.org
Дуплій,Леонтій,Ярославович,Ч,12.04.1966,Пілот,місто Кіцмань,"сквер Ждахи, буд. 4, Судова Вишня, 38242",+380 30 387-27-55,vashchukmaksym@example.net
Перепелиця,Марія,Вікторівна,Ж,18.03.1941,Мікробіолог,місто Красилів,"проспект Аеропортівський 5-й, буд. 570 кв. 6, Лохвиця, 76132",+380 50 521 97 45,uiermolenko@example.net
Демʼянчук,Артем,Олександрович,Ч,15.12.1971,Мистецтвознавець,село Люботин,"узвіз Бориса Літвака, буд. 1, Золочів, 46834",+380 38 757 40 07,iaroslava92@example.com
Андрійович,Макар,Леонідович,Ч,11.07.1999,Епідеміолог,хутір Дружківка,"провулок Кощового отамана, буд. 47, Долина, 61759",+380 (55) 286-62-34,stanislavandriichuk@example.com
Міщенко,Омелян,Сергійович,Ч,12.11.2002,Фольклорист,село Валки,"узвіз Бодаревського, буд. 0 кв. 493, Бершадь, 84042",013 590-28-84,zredko@example.org
Вовк,Христина,Леонідівна,Ж,20.10.2007,Агроном,хутір Новий Розділ,"площа Дідріхсона, буд. 650, Сватове, 44167",081-05-45,uriabchenko@example.com
Барабаш,Дан,Максимович,Ч,12.12.1952,Ветеринар,хутір Тиврів,"проспект Персикова, буд. 86 кв. 37, Долина, 18300",+380 77 273-99-23,symon39@example.net
Байда,Костянтин,Ярославович,Ч,18.07.2001,Слідчий,село Бучач,"площа Разумовська, буд. 88, Берестин, 69609",+380 12 447-81-58,fedir68@example.com
Рябець,Володимир,Миколайович,Ч,20.05.2002,Намотувальник,хутір Березне,"парк Дніпровська, буд. 4, Верхньодніпровськ, 83008",+380 (95) 601-67-72,serhiiudovenko@example.org
Ребрик,Зорян,Ігорович,Ч,21.06.1981,Публіцист,хутір Вінниця,"парк Андросовський, буд. 89 кв. 91, Горішні Плавні, 20538",+380 04 545-45-52,ishchakpriska@example.com
Ільєнко,Арсен,Степанович,Ч,14.04.1971,Хореограф,село Феодосія,"узвіз Флотський 3-й, буд. 359 кв. 1, Одеса, 94978",+380 01 307-24-94,glytvyn@example.net
Скопенко,Онисим,Віталійович,Ч,04.02.1992,Біолог,місто Судова Вишня,"провулок Моторна, буд. 16, Сторожинець, 91555",+380 78 394 09 84,kkorpaniuk@example.net
Яковенко,Михайло,Петрович,Ч,14.12.1991,Бібліограф,хутір Берислав,"площа Прохоровська, буд. 6, Великі Мости, 88353",295 90 22,teodor96@example.net
Баранець,Давид,Іванович,Ч,12.03.1965,Перекладач,хутір Монастириська,"площа Аеродромний 3-й, буд. 6, Яворів, 19638",051 262 75 70,hanna58@example.org
Яценко,Аліна,Дмитрівна,Ж,13.12.1993,Локсмайстер,хутір Угнів,"площа Бреуса Якова, буд. 36 кв. 370, Бердянськ, 99789",519 48 80,hunkoserhii@example.net
Гавриленко,Марина,Василівна,Ж,08.05.1959,Сантехнік,селище Славутич,"набережна Танкістів, буд. 520, Малин, 35323",+380 78 290 70 30,xkorsun@example.com
Дутка,Валентина,Леонідівна,Ж,08.09.1985,Інженер,місто Черкаси,"узвіз Юрія Коваленка, буд. 08 кв. 0, Скадовськ, 32502",+380 27 607-54-74,artemzhadan@example.com
Забіла,Аліна,Сергіївна,Ж,11.03.1978,Ґрунтознавець,селище Харцизьк,"площа Колонтаївська, буд. 64 кв. 75, Жовті Води, 23109",+380 (50) 169-42-38,ivanychukpriska@example.net
Назаренко,Одарка,Леонідівна,Ж,22.01.1975,Географ,хутір Мар'їнка,"шосе Ремонтна, буд. 35, Деражня, 50893",492-08-90,babiakeduard@example.net
Гузенко,Віталій,Сергійович,Ч,29.08.1949,Нотаріус,селище Мерефа,"набережна Березова, буд. 27 кв. 3, Миргород, 42946",084 628 58 87,wdrozd@example.org
Дейсун,Яків,Степанович,Ч,04.07.1950,Математик,селище Овруч,"вулиця Гвоздичний, буд. 02 кв. 2, Люботин, 12281",+380 75 091-60-08,rebrykprokhir@example.com
Андрусенко,Мирослав,Ігорович,Ч,10.01.1987,Візажист,місто Нове Давидково,"площа 15-та ст. Великого Фонтану пляж, буд. 24, Рогатин, 29883",049 944 76 64,danylenkoalina@example.org
Свистун,Семен,Романович,Ч,06.09.1940,Публіцист,хутір Іллінці,"набережна Чорноморський 6-й, буд. 3, Тернопіль, 27453",+380 78 885-41-54,threchanyk@example.net
Венгринович,Василь,Тарасович,Ч,21.09.1959,Конструктор,село Трускавець,"узвіз Місячний, буд. 090 кв. 993, Добропілля, 38270",+380 (40) 055-01-53,levko34@example.org
Батуринець,Тетяна,Григорівна,Ж,14.03.1979,Намотувальник,хутір Рава-Руська,"узвіз Маковий, буд. 17, Шептицький, 73490",+380 32 477-98-41,pvoblyi@example.org
Данькевич,Яків,Павлович,Ч,01.06.1985,Мікробіолог,місто Дніпрорудне,"сквер Ждахи, буд. 8 кв. 83, Багачеве, 29085",+380 (18) 938-67-35,vasyl69@example.org
Чабан,Орина,Володимирівна,Ж,13.05.1998,Вчитель,село Армянськ,"узвіз Газовий, буд. 154, Богуслав, 23782",561 25 60,hdashenko@example.net
Товстоліс,Азар,Ігорович,Ч,27.02.2002,Піаніст,село Рава-Руська,"площа Восьмого Березня Лінія 1-ша, буд. 839 кв. 547, Лисичанськ, 14978",022 834 18 94,mshynkarenko@example.net
Девдюк,Герман,Григорович,Ч,23.12.1974,Правник,селище Миколаїв,"провулок Басейний 6-й, буд. 6, Ямпіль, 11047",+380 (45) 351-81-64,veniiamyn85@example.net
Зубко,Мартин,Михайлович,Ч,20.05.1985,Кінолог,хутір Галич,"узвіз Радіальний, буд. 750, Заставна, 33034",+380 35 436-19-72,dzhusiukhym@example.com
Хорішко,Аарон,Максимович,Ч,24.02.2004,Модель,місто Отаманівка,"набережна Луїджі Іоріні, буд. 22 кв. 349, Чортків, 14135",090 411-00-33,lhavryliv@example.com
Асаула,Богуслав,Ярославович,Ч,13.08.1973,Антрополог,село Заліщики,"сквер Йозефа Прибіка, буд. 60, Берестечко, 63549",+380 24 031-04-87,snizhanaisaievych@example.net
Рябовіл,Тарас,Анатолійович,Ч,15.08.1972,Зоолог,місто Новий Буг,"площа Квітковий, буд. 122 кв. 3, Іршава, 50832",+380 37 731-72-28,fedir27@example.com
Андріїшин,Тетяна,Андріївна,Ж,10.12.1988,Реабілітолог,село Хорол,"парк Жолкова Бориса, буд. 960, Самар, 30616",+380 (40) 861-05-16,olesonishchuk@example.net
Гузій,Едуард,Анатолійович,Ч,18.07.1975,Драматург,селище Жмеринка,"набережна Клинова, буд. 0, Новоселиця, 26307",+380 (52) 329-97-96,hduplii@example.net
Онищенко,Володимир,Тарасович,Ч,10.02.1969,Професор,селище Білгород-Дністровський,"провулок Чорноморська, буд. 33 кв. 72, Вільнянськ, 52277",+380 23 353 45 19,efesenko@example.org
Онищенко,Аарон,Володимирович,Ч,16.04.1991,Флорист,селище Галич,"площа Чубаївська, буд. 6 кв. 438, Рудки, 64704",+380 (71) 357-95-48,shvachkaarsen@example.com
Зінчук,Ярина,Володимирівна,Ж,17.02.1952,Електромонтажник,хутір Іршава,"узвіз Дністровська, буд. 87 кв. 314, Петрово-Красносілля, 71199",+380 44 263-01-92,halyna16@example.org
Засядько,Демʼян,Богданович,Ч,05.06.1962,Футболіст,хутір Антрацит,"провулок 12-та ст. Великого Фонтану пляж, буд. 6, Світловодськ, 23242",063 72 84,vitalii11@example.net
Гаврилюк,Владислав,Васильович,Ч,30.06.1984,Психолог,місто Косів,"сквер Різницький, буд. 53 кв. 253, Зоринськ, 57124",449 72 33,demiandarahan@example.com
Дерегус,Анастасія,Олександрівна,Ж,23.12.1961,Фольклорист,місто Ровеньки,"набережна Біляївська, буд. 76 кв. 675, Дунаївці, 34540",+380 51 063-90-41,pylyp83@example.org
Щербань,Мирон,Леонідович,Ч,20.02.1942,Електрослюсар,місто Білопілля,"парк Романтиків, буд. 132, Ходорів, 18576",024 654 84 79,iatsenkoedyta@example.org
Супруненко,Еріка,Анатоліївна,Ж,16.12.1987,Громадський діяч,хутір Могилів-Подільський,"провулок Слави, буд. 9 кв. 80, Виноградів, 27527",085 505 83 10,havrylyshynokhrim@example.org
Зінченко,Захар,Степанович,Ч,31.05.1951,Секретар,місто Привілля,"площа Дача Ковалевського, буд. 30, Мала Виска, 90123",+380 89 306-63-40,rostyslav94@example.com
Шухевич,Василина,Ярославівна,Ж,10.03.1988,Секретар,хутір Мена,"вулиця Волова, буд. 7 кв. 61, Берегове, 47738",+380 65 409 14 19,shvachkomartyn@example.org
Павлик,Юхим,Григорович,Ч,30.06.1952,Модель,місто Мелітополь,"набережна Братів Малакових, буд. 93, Самбір, 85965",501-16-87,sviatoslava65@example.com
Заєць,Тереза,Романівна,Ж,05.11.1963,М'ясник,хутір Біла Церква,"узвіз Бориса Нечерди, буд. 1 кв. 10, Умань, 43753",073 580 47 15,nataliia14@example.org
Василевич,Галина,Андріївна,Ж,01.09.1954,Пекар,хутір Верхньодніпровськ,"сквер Біляївська, буд. 292, Узин, 44650",096 557-94-37,esmyk@example.com
Вівчаренко,Леонтій,Іванович,Ч,18.05.1950,Професор,хутір Лутугине,"парк Хімічний 2-й, буд. 663, Вишгород, 14794",031 244-58-12,taras27@example.net
Мірошниченко,Галина,Петрівна,Ж,16.11.1993,Петрограф,селище Пирятин,"шосе Менделе Сфоріма, буд. 33, Вільнянськ, 79406",+380 61 003-88-58,ovsiienkostefan@example.net
Ватаманюк,Марія,Вікторівна,Ж,14.03.1989,Штукатур,село Заставна,"парк Аптекарський, буд. 1 кв. 8, Єнакієве, 46085",+380 (74) 346-87-43,dtsushko@example.net
Юрчук,Олена,Богданівна,Ж,29.03.1989,Ґрунтознавець,селище Хрустальний,"узвіз Житомирський 3-й, буд. 842 кв. 2, Моршин, 91452",+380 55 280-90-31,khoma88@example.net
Ейбоженко,Франц,Романович,Ч,03.03.1997,Водій,місто Старокостянтинів,"парк Валіховський, буд. 1 кв. 750, Шахтарськ, 70173",402 20 32,telychenkovladyslav@example.org
Євдокименко,Марина,Петрівна,Ж,26.11.1963,Правник,село Дунаївці,"узвіз Кустанайська, буд. 80, Самбір, 05345",+380 (81) 856-01-64,boryslavandriishyn@example.org
Луценко,Марина,Богданівна,Ж,30.12.1999,Випробувач,хутір Вижниця,"парк Новосельского, буд. 44 кв. 687, Пологи, 75306",168 72 76,khrystynaumanets@example.net
Харченко,Климент,Богданович,Ч,13.04.1982,Випробувач,село Глиняни,"набережна Трудова, буд. 8 кв. 397, Перемишляни, 18079",092 748 15 28,tdzhun@example.com
Забашта,Марина,Анатоліївна,Ж,23.02.2001,Фотограф,хутір Київ,"площа Володимира Вінниченка, буд. 660, Ланівці, 51065",740-66-77,sofiia64@example.net
Колодуб,Онисим,Іванович,Ч,05.05.1958,Композитор,село Шаргород,"площа Сабанський, буд. 1 кв. 899, Вуглегірськ, 25097",303 98 06,arsenchernenko@example.org
Шухевич,Едуард,Юрійович,Ч,28.07.1980,Патологоанатом,місто Лисичанськ,"вулиця Сєрогодського, буд. 47 кв. 05, Мар'їнка, 11231",015-30-87,myroslav56@example.net
Гоголь,Климент,Анатолійович,Ч,30.01.1995,Каскадер,місто Канів,"сквер Чорничний, буд. 943 кв. 37, Інкерман, 22870",006 746 82 22,liliiadashenko@example.org
Уманець,Михайлина,Максимівна,Ж,08.09.1941,Архітектор,місто Ржищів,"парк 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 25, Кам'янське, 20056",+380 77 037-16-96,spas29@example.net
Радченко,Віра,Віталіївна,Ж,31.01.2003,Ботанік,селище Дунаївці,"сквер Поштова, буд. 869, Полтава, 02915",337 29 34,kovpakonysym@example.org
Шелест,Демид,Степанович,Ч,21.03.1951,Юрист,місто Карлівка,"узвіз Прирейкова, буд. 1, Хмільник, 50270",079 292 81 25,vitrukkyrylo@example.org
Гупало,Валентина,Миколаївна,Ж,16.06.1984,Правник,хутір Старий Крим,"площа Соляний 1-й, буд. 561 кв. 78, Зіньків, 04648",+380 (27) 812-77-66,gdankevych@example.com
Скоробогатько,Михайло,Михайлович,Ч,28.09.1957,Маркетолог,село Добромиль,"вулиця Транспортна, буд. 13 кв. 566, Покров, 23287",025 719 58 80,khoma65@example.org
Гаврилюк,Ірена,Максимівна,Ж,30.05.1959,Гінеколог,місто Вашківці,"сквер Крижанівський, буд. 03, Торецьк, 27765",025 684-15-53,acherednyk@example.com
Устенко,Теодор,Сергійович,Ч,22.03.1965,Мінералог,селище Надвірна,"шосе Томатна, буд. 217, Біла Церква, 71943",+380 27 444 96 65,ckhudobiak@example.net
Шахрай,Едита,Іванівна,Ж,26.05.1990,Епідеміолог,хутір Сіверськодонецьк,"набережна Агрономічний, буд. 4 кв. 020, Гадяч, 65069",060 393-10-65,vernydubliza@example.net
Павленко,Одарка,Сергіївна,Ж,07.09.1954,Маркетолог,селище Старий Крим,"сквер Миколи Бурачека, буд. 2, Сорокине, 77348",021 737 25 56,mandriichuk@example.org
Асаула,Костянтин,Ігорович,Ч,25.08.1969,Медик,село Гайворон,"шосе Куликовський 2-й, буд. 822 кв. 552, Лиман, 33622",122 71 80,xhupalo@example.com
Єременко,Ілля,Тарасович,Ч,27.12.1990,Гицель,місто Тальне,"вулиця Неплія, буд. 063 кв. 98, Сватове, 15657",061-20-51,avreliishchors@example.com
Архимович,Валерій,Віталійович,Ч,14.09.1976,Слідчий,селище Болехів,"сквер Бондарна, буд. 9 кв. 9, Рахів, 50251",+380 05 379-23-68,ftelychenko@example.com
Аврамчук,Антон,Григорович,Ч,16.05.1968,Паблік рилейшнз,хутір Євпаторія,"проспект Ланжеронівська, буд. 81 кв. 39, Бахмут, 74558",+380 59 965-78-44,zabararostyslav@example.net
Христенко,Ліза,Віталіївна,Ж,09.09.1998,Ботанік,місто Житомир,"сквер Радісний, буд. 28 кв. 652, Куп'янськ, 18917",+380 84 070 27 54,kylymnykpriska@example.net
Аронець,Арсен,Володимирович,Ч,15.03.1948,Єгер,хутір Валки,"площа Олександра Юрженка, буд. 0 кв. 753, Сколе, 79190",+380 60 768-27-58,klavdiiastus@example.com
Стельмах,Оксенія,Іванівна,Ж,31.07.1982,Будник,місто Козятин,"проспект Фестивальний, буд. 65 кв. 839, Суходільськ, 83525",039 000-36-95,kiaremchuk@example.org
Єрошенко,Олена,Тарасівна,Ж,18.12.1992,Археолог,село Помічна,"сквер Академіка Заболотного, буд. 917 кв. 8, Генічеськ, 26576",+380 (72) 148-35-07,zlatoslava07@example.org
Жаліло,Роксолана,Валеріївна,Ж,29.08.1983,Скульптор,село Кременчук,"набережна Соляний 4-й, буд. 6 кв. 4, Ходорів, 58555",081 084-02-96,lemeshkoheorhii@example.org
Ющенко,Соломія,Михайлівна,Ж,25.02.1957,Головний меркшейдер,хутір Кролевець,"площа Лиманчик 2-й Лінія 8-ма, буд. 95, Зугрес, 41734",043 276 85 99,myronorlyk@example.net
Вернидуб,Дмитро,Васильович,Ч,08.05.1955,Фрілансер,місто Ланівці,"узвіз Фахова, буд. 3, Жовті Води, 88363",+380 88 515-32-36,ihor19@example.com
Шморгун,Михайлина,Ігорівна,Ж,08.06.1950,Драматург,хутір Чернігів,"сквер Магістральна, буд. 58 кв. 74, Запоріжжя, 05597",+380 94 499-26-81,aaron03@example.com
Вдовенко,Устим,Леонідович,Ч,04.01.1966,Державний службовець,хутір Приморськ,"шосе Палія Семена, буд. 44, Новояворівськ, 94422",084 046-31-21,borys63@example.org
Єщенко,Максим,Михайлович,Ч,10.01.1991,Стиліст,хутір Ужгород,"площа Нескучна, буд. 448, Благовіщенське, 94481",+380 60 378 08 06,maryna30@example.net
Байдак,Тарас,Ігорович,Ч,17.05.1940,Фермер,хутір Оріхів,"шосе Кордонний, буд. 127 кв. 666, Ічня, 43341",+380 21 582-88-35,nestorchervonenko@example.net
Базилевич,Трохим,Михайлович,Ч,09.03.1992,Живописець,хутір Моршин,"шосе Юрія Олеші, буд. 58, Нове Давидково, 76497",+380 93 968-95-89,fedir90@example.net
Абраменко,Надія,Григорівна,Ж,10.10.1991,Електрик,хутір Гуляйполе,"узвіз Слов'янська, буд. 0 кв. 229, Судак, 10847",+380 31 089 30 19,eduardhohol-ianovska@example.net
Гайдай,Антон,Григорович,Ч,05.08.1980,Різноробочий,село Заводське,"вулиця Дзвінка, буд. 1 кв. 33, Вараш, 37297",328 48 67,tereshchenkohavrylo@example.org
Павличенко,Любов,Григорівна,Ж,25.05.1989,Реабілітолог,село Чигирин,"вулиця Естонська, буд. 0, Перещепине, 35976",+380 86 210-47-82,kmalyk@example.net
Худобʼяк,Альберт,Дмитрович,Ч,25.07.1941,Паралегал,місто Брянка,"провулок Капітана Гаврікова, буд. 8, Шпола, 01159",+380 70 725 55 58,ruslan91@example.com
Ярош,Данна,Тарасівна,Ж,12.04.1974,Ґрунтознавець,селище Кагарлик,"парк Геранієва, буд. 802 кв. 6, Зугрес, 55551",+380 73 127-81-63,oberemkoklyment@example.com
Василенко,Пріска,Віталіївна,Ж,01.04.1943,Фармацевт,село Жовті Води,"провулок Восьмого Березня Лінія 1-ша, буд. 023, Скалат, 53133",536-14-63,dmytroviter@example.net
Симоненко,Богдан,Анатолійович,Ч,02.09.1986,Няня,село Олевськ,"вулиця Косий, буд. 76 кв. 18, Кам'янське, 10218",+380 41 660-28-19,mykhailynabaida@example.net
Акименко,Тарас,Іванович,Ч,17.07.1993,Астронавт,місто Скалат,"проспект Дальницьке, буд. 4 кв. 304, Інкерман, 40243",+380 48 149-73-98,iaroslav80@example.com
Дутка,Трохим,Андрійович,Ч,09.07.1971,Мінералог,селище Зоринськ,"площа Садова 1-ша, буд. 2 кв. 348, Білозерське, 84870",+380 59 141 25 52,eskyrda@example.net
